name,variants
Alda,"Aldabella, Aldea, Aldina, Aldine, Alida"
Aldara,
Alden,"Aldin, Aldon, Aldwin, Elden, Eldwin"
Alder,Aldar
Aldith,"Ailith, Alda, Aldis, Alditha"
Aldo,
Aldonza,
Aldora,
Aldous,"Al, Aldis, Aldivin, Aldo, Aldon, Elden, Eldin, Eldis, Eldous, Elton"
Aldred,Eldred
Aldrich,"Al, Aldric, Aldridge, Aldrige, Aldritch, Allric, Alrick, Audric, Eldrich, Rich, Richie"
Aldwin,"Aldwan, Aldwen, Aldwon, Alswynn, Elden, Eldwin"
Alea,Aleah
Aleeka,
Aleekcheaahoosh,
Aleela,"Aleila, Alei, Aleigha"
Aleen,"Aleena, Aleene, Aleine, Alisa, Aleeza"
Aleeza,
Alegria,Allegria
Alei,
Alekanekelo,"Aleka, Alekanedero, Alika"
Alekona,Aletona
Alem,
Alema,
Alemana,"Amana, Aremana"
Alepana,Alebana
Alepeleke,"Alapai, Aleferede"
Aleria,Alearia
Aleron,
Aleshanee,
Alesia,
Aleta,"Allette, Letty"
Alethea,"Alata, Aleta, Alette"
Alexander,"Al, Alasdair, Alastair, Alaster, Alcander, Alec, Aleik (Russian), Alejandro (Spanish), Alejo (Spanish), Alek, Aleksandr (Russian), Alessandre, Alessandro, Alex, Alexandre, Alexandro, Alexandros, Alexei, Alexio (Portuguese), Alexis, Alisander, Alsandair, Alsandare, Ellic, Iskander, Leks (Estonian), Sacha, Sander, Sandero, Sandor, Sandro, Sandy, Sascha, Sasha, Saunder, Saunders, Sikander"
Alexandra,"Aleksandra (Lithuanian), Aleksia (Danish, Norse), Alessandra, Alexa, Alexandrovna (Russian), Alexine, Alla, Cesya, Lexine, Ritsa, Sacha, Sandea, Sandee, Sandi, Sandra, Sandrea, Sandria, Sandrina, Sandrine, Sandy, Sasha, Sashia, Saundra, Sondra, Xandi, Xandia, Zanda, Zandra, Zanna"
Alexis,"Alejo, Alexei"
Aley,
Alfonsine,"Alfonsa, Alfonsia, Alonza, Alphonsine"
Alford,Aldford
Alfred,"Aelfric, Ailfrid, Ailfryd, Al, Alfeo, Alfie, Alfredas (Lithuanian), Alfredo, Alfried (German), Avery, Elfric, Elfrid, Fred, Freddie, Fredo"
Alfreda,"Alfie, Alfre, Alfri, Alfried, Alured, Elfie, Elva, Freda, Freddy, Frieda"
Alger,"Al, Algar, Elgar, Elger"
Algernon,"Al, Alger, Algie, Algy"
Algis,
Algoma,Algome
Algot,
Alhena,
Ali,Aly
Alia,"Aleah, Alea, Aliyah, Aleana"
Alice,"Addala, Adelice, Adelicia (Old English), Aletta, Alicia, Alicija (Polish), Alisa, Alisha, Alleta (Dutch), Allison, Allie, Elice, Elisan, Elisun, Ellie, Elsa, Ilysah, Ilyssa, Licha, Lyssa"
Alida,"Aleta, Alita, Alette, Leda, Lita"
Aliimalu,
Alika,Alique
Alike,
Alikkees,
Alile,
Alim,
Alima,
Alimet,
Alina,Alkina
Alina,"Aleen, Alena, Alenah, Alene, Alleen, Alline, Allyna, Lena, Lina, Lyna"
Alinga,
Alipate,
Alisa,
Alisi,
Alison,"Aleka (German), Allie, Allison, Allsun, Lissie"
Alita,
Alitz,"Aliz, Alitzah"
Alix,"Alexa, Alexis, Aliki, Alissandre, Alissandrine, Lissandre"
Aliya,Aliye
Alizah,Aliza
Alka,
Alkas,
Allahkoliken,
Allambee,
Allard,
Allegra,Legra
Allira,
Allon,Alon
Allunga,Alunga
Allya,
Allyriane,
Alma,
Alma,
Almarine,Almeria
Almeda,"Allmeta, Allmida, Maelle"
Almedha,Enid
Almena,"Almeena, Almina, Elmena, Elmina"
Almera,"Almeera, Almeeria, Almeria, Almire, Almyra, Elmeera, Elmeeria, Mera, Mira, Mirah, Myra"
Almira,
Almita,
Almo,
Almodine,
Almon,
Alnaba,
Alodie,"Alodea, Elodee"
Aloha,
Alohalani,Alohilani
Alohilani,
Aloiki,Aloisi
Aloisia,Aloysia
Alon,"Alonn, Allon"
Alona,"Allona, Alonia, Eilona"
Alonsa,Alonza
Alonzo,"Allon, Alon, Alonso, Lonnie, Lon"
Aloysia,Aloyza (Polish)
Aloysius,"Alois, Aloisius, Aloisio, Lewis, Louis, Ludwig"
Alp,"Alper (Brave Youngster), Alp, Er"
Alparslan,Alpaslan
Alpha,"Alfa, Alfia, Alphia"
Alpheus,
Alpheus,"Alpheaus, Alphoeus"
Alphonse,"Affonso, Al, Alfie, Alfo, Alfons, Alfonso, Alfonsus, Alfonzus, Alford, Alfy, Alonso, Alonzo (Spanish), Fons, Fonsie, Fonz, Fonzie"
Alpin,"Alpine, Macalpin"
Alpinolo,Alpin
Alptekin,Alp Tigin
Alroy,
Alston,
Alta,"Altai, Alto"
Altair,Altaira
Alter,"Altar, Altor"
Althea,"Althaia, Thea, Althaea"
Altheda,
Altman,
Alton,
Altsoba,
Aludra,
Alula,
Alumit,"Aluma, Alumice"
Aluna,
Alura,Alurea
Alva,"Alba, Alvah"
Alva,Alba
Alva,"Alba, Albina, Albine, Albinia"
Alvar,
Alverdine,
Alvern,Elvern
Alvin,"Ailwyn, Al, Alban, Albin, Aloin, Aluin (French), Aluino (Spanish), Alva, Alvan, Alvie, Alvon, Alwin (German), Elvin, Elwin"
Alvina,"Alvine, Alvinia, Vina, Vinnie"
Alvis,"Alva, Elvis"
Alvita,
Alysia,
Alyssa,"Alisa, Ilisa, Ilysa, Lisa, Lissa, Lysa, Lyssa"
Alzbeta,
Alzena,"Alsena, Alxena"
Alzubra,
Am,
Ama,
Amabel,"Ama, Belle, Mab, Mabel"
Amadea,"Amada, Amadee, Amadi"
Amadeo,"Amadee, Amadei, Amadi, Amadieu, Amadis, Amado, Amando, Amyas, Amyot"
Amadeus,Amadeo (Spanish)
Amadi,
Amadi,
Amadika,
Amadore,Amadora
Amadour,
Amal,"Amahl, Amahla, Amala"
Amal,
Amal,
Amala,
Amalesh,
Amalida,Amalina
Amama,
Aman,
Amana,
Amanaki,
Amanda,"Amada, Amandi, Amandine, Amata, Manda, Mandaline, Mandi, Mandy"
Amani,
Amar,"Amari, Amrio, Amaris, Amarjit, Ammar"
Amara,"Amarantha, Amarinda, Mara, Marra"
Amariah,"Amaria, Amariahu, Amarya, Amaryahu"
Amarina,"Amarin, Amarine"
Amarinda,"Amra, Amargo"
Amaris,
Amarjaa,
Amaroo,
Amaryllis,
Amasa,"Amasai, Amasia, Amasiah, Amasya"
Amata,
Amaui,
Amaya,
Amayeta,
Ambarish,
Amber,"Ambar, Amberetta, Amberline, Amberly"
Ambert,
Ambika,
Ambonisye,
Ambrose,"Ambie, Ambrogio (Italian), Ambroise (French), Ambros (Irish), Ambrosi, Ambrosio (Spanish), Ambrosios (Greek), Ambrosius, Ambrossij (Russian), Ambroz (Bohemian), Ambrozij (Polish), Brose"
Ambrosine,"Ambrosia, Ambrosina, Brosina"
Amee,
Amelia,"Aimiliona, Amalea, Amaleta, Amalia, Amalija (Lithuanian), Amalina, Amelie, Amelita, Ameliya, Amelyta, Amy, Em, Emelina, Emelita, Emma, Mali, Malia, Malika, Meline, Milly"
Amelinda,
Amenti,
Amerigo,
Amery,Americk
Ames,
Amethyst,Amethysta
Amfrid,Amfred
Amica,"Amata, Amice, Amicia, Amise, Amisia"
Amico,"Amic, Amick, Amicko"
Amidah,Amida
Amiel,
Amiela,Ammiela
Amik,
Amil,
Amin,
Amina,
Aminta,"Aminte, Aminti, Minta, Minty"
Amipa,
Amir,
Amira,"Amera, Amyra, Meera, Mera, Mira"
Amiram,
Amisa,Amissa
Amit,"Amitan, Amrit, Amritan"
Amit,"Amitan, Amrit, Amritan"
Amita,
Amita,
Amitola,
Amity,
Amjad,
Amlike,Amilka
Amma,
Amma,
Ammar,
Ammon,"Amon, Amun"
Ammu,
Amnon,Aminon
Amoka,Amosa
Amoke,
Amoli,
Amon,Ammon
Amorel,Amorela
Amorette,
Amory,"Aimory, Amery, Amorey"
Amos,
Amphion,
Amr,Am
Amram,"Amran, Amren"
Amrita,Amritte
Amul,
Amy,"Aimee, Aimia, Aimie, Amada, Amata, Amecia, Amei, Amia, Amice, Amina, Amine, Amoretta, Amorita, Esma, Esme"
Amyas,Amias
Amycus,
Amymone,
An,
An Toan,
Ana,
Anaba,
Anad,Anaadi
Anada,
Anadaria,Anakalia
Anael,
Anahita,
Anaiah,"Anaia, Anaya"
Anais,
Anakale,Anadar
Anakletos,"Anacletus, Cletus, Kletos"
Anakoni,
Anala,Analaa
Analo,
Anamosa,
Anan,
Anand,
Ananda,
Anandita,
Anane,
Ananke,
Ananta,
Ananya,
Anastasia,"Anastace, Anastacia, Anastacie, Anastasija, Anastazia, Anastazya (Polish), Annestas, Anstace, Anstice, Natassja, Nastyenka, Natasha, Nitasse, Stacey, Stacie, Stacia, Stassy, Tas, Tasa, Tasi, Tasia"
Anastasius,"Anastas, Anastase, Anastasio (Spanish), Anastasij (Russin), Anastatius, Anastazy (Polish), Anastice, Anastius, Anasto, Anstas, Anstice, Nastagio, Stasio, Stasius"
Anatola,Anatolia
Anatole,"Anatol, Anatolio"
Ancelote,"Ancelin, Ancelina, Anceline"
Anchali,
Anchoret,Anchoretta
Anci,
Ancilla,"Ancilee (French), Ancilia"
Anda,
Andela,"Andel, Andelka"
Andra,
Andrea,"Aindrea (Irish), Andee, Andra, Andreana, Andree (French), Andrela, Andretta, Andri, Andriana, Ondra, Ondrea, Ondria"
Andrew,"Aindrea, Aindreas (Gaelic), Analo, Anders, Andias (Slavic), Andonis, Andor, Andras (Estonian/Hungarian), Andre (French), Andrea, Andreas (Dutch/German), Andrei (Russian), Andrej (Slavic), Andres, Andresj, Andro, Andronicus (Greek), Andy, Anker, Anthe (Greek), Bandi (Hungarian), Drew, Drud, Drugi, Ondrej, Ondravsek, Ondrejek, Ondrousek"
Andria,
Andromeda,
Andula,Andulka
Aneira,
Aneka,Aneta
Anekelea,Anederea
Aneko,
Anela,
Anemone,
Anesh,"Anesa, Aneska, Anezka, Neska"
Aneurin,"Aneirin, Nye"
Anevay,
Anga,
Anganaa,
Angela,"Agnola, Ancela (Polish), Ange, Angele, Angelica, Angelique, Angelita (Swedish), Angie, Angiola (Italian), Angelina, Angelo (Tongan), Annijilla, Anjela, Engel, Engela, Engelchen, Gelya"
Angelica,
Angelo,"Angell, Angiolo, Anjelo"
Angeni,Ange
Angharad,"Ancret, Ancreta, Ingaret, Ingaretta"
Angpatu,
Angus,"Ennis, Gus"
Anh,
Ani,Ania
Aniani,
Aniketos,
Anil,"Anel, Anielo"
Anila,
Anima,
Anina,
Anisah,Annissa
Anitelu,
Aniweta,
Anjay,
Anju,
Anker,
Ankur,
Anluan,Anlon
Annan,
Annar,
Annawon,Annawan
Anne,"Aine, Ana, Anca (Bohemian), Anechka, Anika (Scandinavian), Ania, Aniela (Polish), Anina, Anissa, Anita, Anitra, Anja (Russian), Anje (Dutch), Anjuska (Russian), Anna, Annali (Swiss), Annchet, Anneke (Dutch), Annette (French), Annika, Annze (Lithuanian), Antje, Anushka, Anya, Asya, Hannah, Hanja, Nancia, Nancy, Nanice, Nannette, Nettie, Nina, Ninetta, Ninon, Nita, Nona, Ohanna, Ona, Vanjuscha, Vanka, Vanni, Zaneta, Zanette"
Annina,
Annis,"Anissa, Annys"
Annot,
Annunciata,"Annunziate, Anunciacion"
Annur,An-nur
Anoi,
Anoki,Anoke
Anona,"Annona, Nona"
Anoop,
Anscom,
Ansel,Ancell
Anselm,"Anse, Ansel, Anselme, Anselmi (Italian), Anselmo (Spanish/Portuguese), Anshelm, Elmo"
Anselma,"Selma, Zelma"
Anselma,"Selma, Zelma"
Anshu,Anshul
Ansley,"Ansleigh, Anslea"
Anson,"Hanson, Ansin"
Antaeus,Antaios
Antares,
Anthea,"Anthe, Anthemia, Antia, Thia"
Anthony,"Antaine, Antanas, Antin, Antoin (Irish), Antoine, Anton, Antone, Antonello, Antoni (Polish), Antonin, Antonino, Antonio, Antonius, Antons, Antony, Antti (Finnish), Hanto, Tony"
Antigone,
Antoinette,"Antonetta, Antonia, Antonie, Antonina, Antonya (Lithuania), Netta, Nettie, Toinette, Tona, Toni, Tonia, Tonya"
Anuenue Akua,
Anuhea,
Anuka,
Anuli,
Anum,
Anupa,
Anupriyaa,
Anura,
Anusheela,
Anwar,
Anwell,Anwill
Anwen,Anwyn
Anya,Anyuta
Anyon,Einion
Anzu,
Aodh,"Aodha, Aodhaigh, Aodhan, Aodhfin, Aodhgan, Aoidh"
Aoi,
Aoibheann,"Aibfinnia, Aoibh, Aoibhinn, Eavan"
Aoiffe,Aoife
Aolani,
Aonani,
Apangela,
Apanie,
Apara,
Apash Wyakaikt,
Apekaloma,Abesaloma
Apelama,"Aberama, Abiram, Apilama"
Aphra,Affery
Apia,Abia
Apiatan,"Ahpeatone, Ahpiatom, Apiaton"
Apikai,Abisai
Apikatila,
Apolline,"Abbeline, Apolda, Apollonia, Pola"
Apollo,"Apollon, Apollos"
Apona,
Aponi,
Appanoose,
April,"Aprilete, Averel, Averil, Avril"
Apsara,
Apurta,
Aquene,
Aquila,"Acquila, Acquilla, Aquilla"
Aquilina,
Aquilo,
Ar-ke-kee-tah,
Ara,"Ari, Arria"
Ara,
Arabella,"Ara, Arbela, Arbell, Arbella, Bel, Bella, Orabella, Orabelle, Orbella, Orbelle"
Arach,
Arachne,
Aradhana,
Arafat,
Aram,
Araminta,
Aramis,
Aran,
Arapoosh,
Arawa,
Arcadia,Arcadie
Arcas,
Arcelia,
Archard,"Archer, Archerd"
Archelaus,
Archer,
Archibald,"Arch, Archaimbaud, Archambault, Arche, Archer, Archibaldo (Italian), Archibales (Lithuanian), Archie, Archimbald"
Archimedes,Archim
Arda,"Ardah, Ardath"
Ardal,"Ardall, Ardell, Ardghal, Artegal, Arthgallo"
Ardelle,"Arda, Ardelia, Arden, Ardis, Ardine, Ardella"
Arden,"Ard, Ardan, Ardie, Ardin, Ardint, Ardy"
Ardis,"Adisa, Ardissa, Ardisse"
Ardley,"Ardsley, Ardsly"
Ardmore,Ardmor
Ardolph,
Ardon,"Ardan, Arden, Ardin"
Arella,Arela
Arete,"Areta, Aretina, Oreta, Retha"
Arethusa,
Argenta,Argentia
Argus,Argos
Argyle,Argyll
Argyro,
Ari,
Aria,"Arietta, Ariette"
Ariadne,"Arene, Ariane, Arianna"
Ariana,"Ariane, Arianwen, Arianwena"
Aric,"Aaric, Arik, Eric, Erick, Erik, Ric, Ricky"
Aricia,
Ariel,"Ariella, Aeriela, Ariellel"
Ariel,"Airel, Airyel, Arel, Arie, Aryel"
Aries,"Ares, Arese, Ariese"
Arif,
Arika,Arica
Ariki,
Arioch,Aryoch
Arion,"Arian, Arien, Ariona"
Arista,
Aristaeus,
Aristides,"Aristede, Aristedes, Aristide"
Aristotle,"Ari, Arie, Aristo, Ary"
